Date,Price,Open,High,Low,Change %
May-90,40.12,40.12,40.12,40.12,0.25%
Jun-90,40.02,40.02,40.02,40.02,-0.25%
Jul-90,40.02,40.02,40.02,40.02,0.00%
Aug-90,39.94,39.94,39.94,39.94,-0.20%
Sep-90,40.01,40.01,40.01,40.01,0.18%
Oct-90,40.4,40.4,40.4,40.4,0.97%
Nov-90,40.31,40.31,40.31,40.31,-0.22%
Dec-90,40.24,40.24,40.24,40.24,-0.17%
Jan-91,40.4,40.4,40.4,40.4,0.40%
Feb-91,40.72,40.72,40.72,40.72,0.79%
Mar-91,40.78,40.78,40.78,40.78,0.15%
Apr-91,40.94,40.94,40.94,40.94,0.39%
May-91,41.12,41.12,41.12,41.12,0.44%
Jun-91,41.19,41.19,41.19,41.19,0.17%
Jul-91,41.42,41.42,41.42,41.42,0.56%
Aug-91,41.88,41.88,41.88,41.88,1.11%
Sep-91,42.01,42.01,42.01,42.01,0.31%
Oct-91,42.26,42.26,42.26,42.26,0.60%
Nov-91,42.43,42.43,42.43,42.43,0.40%
Dec-91,42.53,42.53,42.53,42.53,0.24%
Jan-92,42.68,42.68,42.68,42.68,0.35%
Feb-92,43.05,43.05,43.05,43.05,0.87%
Mar-92,43.07,43.07,43.07,43.07,0.05%
Apr-92,43.37,43.37,43.37,43.37,0.70%
May-92,43.47,43.47,43.47,43.47,0.23%
Jun-92,44.17,44.17,44.17,44.17,1.61%
Jul-92,44.2,44.2,44.2,44.2,0.07%
Aug-92,44,44,44,44,-0.45%
Sep-92,44.2,44.2,44.2,44.2,0.45%
Oct-92,44.34,44.34,44.34,44.34,0.32%
Nov-92,44.45,44.45,44.45,44.45,0.25%
Dec-92,46.1,46.1,46.1,46.1,3.71%
Jan-93,46.2,46.2,46.2,46.2,0.22%
Feb-93,46.52,46.52,46.52,46.52,0.69%
Mar-93,47.45,47.45,47.45,47.45,2.00%
Apr-93,47.81,47.81,47.81,47.81,0.76%
May-93,47.92,47.92,47.92,47.92,0.23%
Jun-93,48.2,48.2,48.2,48.2,0.58%
Jul-93,48.75,48.75,48.75,48.75,1.14%
Aug-93,48.88,48.88,48.88,48.88,0.27%
Sep-93,48.93,48.93,48.93,48.93,0.10%
Oct-93,49.05,49.05,49.05,49.05,0.25%
Nov-93,49.3,49.3,49.3,49.3,0.51%
Dec-93,49.3,49.3,49.3,49.3,0.00%
Jan-94,49.43,49.43,49.43,49.43,0.26%
Feb-94,48.95,48.95,48.95,48.95,-0.97%
Mar-94,48.8,48.8,48.8,48.8,-0.31%
Apr-94,48.75,48.75,48.75,48.75,-0.10%
May-94,49.33,49.33,49.33,49.33,1.19%
Jun-94,49.09,49.09,49.09,49.09,-0.49%
Jul-94,49.1,49.1,49.1,49.1,0.02%
Aug-94,49.23,49.23,49.23,49.23,0.26%
Sep-94,49.28,49.28,49.28,49.28,0.10%
Oct-94,48.94,48.94,48.94,48.94,-0.69%
Nov-94,49.43,49.43,49.43,49.43,1.00%
Dec-94,49.62,49.62,49.62,49.62,0.38%
Jan-95,49.96,49.96,49.96,49.96,0.69%
Feb-95,49.88,49.88,49.88,49.88,-0.16%
Mar-95,49.45,49.45,49.45,49.45,-0.86%
Apr-95,49.36,49.34,49.36,49.34,-0.18%
May-95,49.605,49.58,49.605,49.58,0.50%
Jun-95,50.345,50.32,50.345,50.32,1.49%
Jul-95,50.59,50.54,50.59,50.54,0.49%
Aug-95,51.65,51.62,51.65,51.62,2.10%
Sep-95,52.54,52.43,52.54,52.43,1.72%
Oct-95,52.585,52.5,52.585,52.5,0.09%
Nov-95,53.25,53.19,53.25,53.19,1.26%
Dec-95,54.05,53.51,54.05,53.51,1.50%
Jan-96,53.685,53.65,53.685,53.65,-0.68%
Feb-96,53.685,53.65,53.685,53.65,0.00%
Mar-96,53.685,53.65,53.685,53.65,0.00%
Apr-96,54.735,54.7,54.735,54.7,1.96%
May-96,54.95,54.8,54.95,54.8,0.39%
Jun-96,55.505,55.43,55.505,55.43,1.01%
Jul-96,55.12,55.07,55.12,55.07,-0.69%
Aug-96,55.6,55.45,55.6,55.45,0.87%
Sep-96,56.6,56.45,56.6,56.45,1.80%
Oct-96,57.05,57,57.05,57,0.80%
Nov-96,56.63,56.6,56.63,56.6,-0.74%
Dec-96,56.73,56.7,56.73,56.7,0.18%
Jan-97,57.69,57.65,57.69,57.65,1.69%
Feb-97,57.5,57.45,57.5,57.45,-0.33%
Mar-97,58.33,58.3,58.33,58.3,1.44%
Apr-97,59.2,59.15,59.2,59.15,1.49%
May-97,58.305,58.28,58.305,58.28,-1.51%
Jun-97,58.49,58.44,58.49,58.44,0.32%
Jul-97,58.85,58.8,58.85,58.8,0.62%
Aug-97,59.285,59.26,59.285,59.26,0.74%
Sep-97,59.75,59.7,59.75,59.7,0.78%
Oct-97,59.775,59.75,59.775,59.75,0.04%
Nov-97,60.75,60.71,60.75,60.71,1.63%
Dec-97,61.75,61.7,61.75,61.7,1.65%
Jan-98,62.25,62,62.25,62,0.81%
Feb-98,61.675,61.45,61.675,61.45,-0.92%
Mar-98,62.375,62.15,62.375,62.15,1.13%
Apr-98,63.305,63.28,63.305,63.28,1.49%
May-98,65,64.55,65,64.55,2.68%
Jun-98,65.4,65.35,65.4,65.35,0.62%
Jul-98,65.925,65.85,65.925,65.85,0.80%
Aug-98,66.525,66.1,66.525,66.1,0.91%
Sep-98,65.985,65.96,65.985,65.96,-0.81%
Oct-98,67.075,67.05,67.075,67.05,1.65%
Nov-98,67.9,67.85,67.9,67.85,1.23%
Dec-98,68.43,68.4,68.43,68.4,0.78%
Jan-99,68.825,68.6,68.825,68.6,0.58%
Feb-99,69.53,69.5,69.53,69.5,1.02%
Mar-99,69.425,69.4,69.425,69.4,-0.15%
Apr-99,69.625,69.6,69.625,69.6,0.29%
May-99,70.85,70.8,70.85,70.8,1.76%
Jun-99,71.55,71.51,71.55,71.51,0.99%
Jul-99,71.6,71.4,71.6,71.4,0.07%
Aug-99,71.8,71.55,71.8,71.55,0.28%
Sep-99,71.73,71.68,71.73,71.68,-0.10%
Oct-99,71.55,71.3,71.55,71.3,-0.25%
Nov-99,72.1,71.85,72.1,71.85,0.77%
Dec-99,71.5,71.25,71.5,71.25,-0.83%
Jan-00,73.15,73.1,73.15,73.1,2.31%
