"Date","Price","Open","High","Low","Change %"
"Feb 02, 2001","88.000","87.500","88.000","87.500","-2.11%"
"Feb 01, 2001","89.900","89.400","89.900","89.400","0.45%"
"Jan 31, 2001","89.500","89.000","89.500","89.000","0.11%"
"Jan 30, 2001","89.400","88.900","89.400","88.900","0.31%"
"Jan 29, 2001","89.125","88.750","89.125","88.750","-0.31%"
"Jan 26, 2001","89.400","88.900","89.400","88.900","-0.67%"
"Jan 24, 2001","90.000","90.000","90.000","90.000","1.98%"
"Jan 23, 2001","88.250","88.000","88.250","88.000","3.62%"
"Jan 22, 2001","85.165","85.130","85.165","85.130","0.11%"
"Jan 19, 2001","85.075","85.050","85.075","85.050","0.01%"
"Jan 18, 2001","85.070","85.040","85.070","85.040","0.13%"
"Jan 17, 2001","84.960","84.930","84.960","84.930","-0.01%"
"Jan 16, 2001","84.965","84.940","84.965","84.940","0.02%"
"Jan 15, 2001","84.950","84.900","84.950","84.900","0.00%"
"Jan 12, 2001","84.950","84.900","84.950","84.900","1.86%"
"Jan 11, 2001","83.395","83.370","83.395","83.370","0.54%"
"Jan 10, 2001","82.950","82.900","82.950","82.900","0.12%"
"Jan 09, 2001","82.850","82.800","82.850","82.800","-0.06%"
"Jan 08, 2001","82.900","82.850","82.900","82.850","-0.27%"
"Jan 05, 2001","83.125","83.100","83.125","83.100","0.51%"
"Jan 04, 2001","82.700","82.650","82.700","82.650","0.06%"
"Jan 03, 2001","82.650","82.600","82.650","82.600","0.12%"
"Jan 02, 2001","82.550","82.500","82.550","82.500","-0.18%"
"Dec 29, 2000","82.700","82.650","82.700","82.650","0.36%"
"Dec 28, 2000","82.400","82.350","82.400","82.350","0.00%"
"Dec 27, 2000","82.400","82.350","82.400","82.350","0.06%"
"Dec 26, 2000","82.350","82.300","82.350","82.300","0.24%"
"Dec 25, 2000","82.150","82.100","82.150","82.100","0.00%"
"Dec 22, 2000","82.150","82.100","82.150","82.100","-0.64%"
"Dec 21, 2000","82.675","82.650","82.675","82.650","-0.11%"
"Dec 20, 2000","82.765","82.730","82.765","82.730","0.11%"
"Dec 19, 2000","82.675","82.650","82.675","82.650","0.45%"
"Dec 18, 2000","82.305","82.260","82.305","82.260","0.01%"
"Dec 15, 2000","82.300","82.250","82.300","82.250","0.12%"
"Dec 14, 2000","82.200","82.150","82.200","82.150","0.06%"
"Dec 13, 2000","82.150","82.100","82.150","82.100","0.12%"
"Dec 12, 2000","82.050","82.000","82.050","82.000","0.00%"
"Dec 11, 2000","82.050","82.000","82.050","82.000","1.23%"
"Dec 08, 2000","81.050","81.000","81.050","81.000","0.00%"
"Dec 07, 2000","81.050","81.000","81.050","81.000","-0.12%"
"Dec 06, 2000","81.150","81.100","81.150","81.100","0.12%"
"Dec 05, 2000","81.050","81.000","81.050","81.000","0.00%"
"Dec 04, 2000","81.050","81.000","81.050","81.000","0.00%"
"Dec 01, 2000","81.050","81.000","81.050","81.000","-0.49%"
"Nov 30, 2000","81.450","81.400","81.450","81.400","0.37%"
"Nov 29, 2000","81.150","81.100","81.150","81.100","0.12%"
"Nov 28, 2000","81.050","81.000","81.050","81.000","0.12%"
"Nov 27, 2000","80.950","80.900","80.950","80.900","0.00%"
"Nov 24, 2000","80.950","80.900","80.950","80.900","-0.32%"
"Nov 23, 2000","81.210","81.160","81.210","81.160","0.32%"
"Nov 22, 2000","80.950","80.900","80.950","80.900","0.12%"
"Nov 21, 2000","80.850","80.800","80.850","80.800","0.25%"
"Nov 20, 2000","80.650","80.600","80.650","80.600","0.12%"
"Nov 17, 2000","80.550","80.500","80.550","80.500","0.62%"
"Nov 16, 2000","80.050","80.000","80.050","80.000","-0.37%"
"Nov 15, 2000","80.350","80.300","80.350","80.300","0.00%"
"Nov 14, 2000","80.350","80.300","80.350","80.300","0.00%"
"Nov 13, 2000","80.350","80.300","80.350","80.300","0.50%"
"Nov 10, 2000","79.950","79.900","79.950","79.900","0.13%"
"Nov 09, 2000","79.850","79.800","79.850","79.800","-0.37%"
"Nov 08, 2000","80.150","80.100","80.150","80.100","-0.22%"
"Nov 07, 2000","80.330","80.280","80.330","80.280","1.49%"
"Nov 06, 2000","79.150","79.100","79.150","79.100","0.00%"
"Nov 03, 2000","79.150","79.100","79.150","79.100","0.06%"
"Nov 02, 2000","79.100","79.050","79.100","79.050","0.06%"
"Nov 01, 2000","79.050","79.000","79.050","79.000","-0.45%"
